"","QuerySeq","Subject","Identity","AlignLength","Mismatches","GapOpenings","QStart","QEnd","SStart","SEnd","EValue","Bitscore","Species","QuerySeq_sub","Function","Group"
"135","sp|Q0WP44|HASTY_ARATH","protein|evm.model.chromosome_11.1980",19.579,1236,853,33,1,1164,1,1167,5.58e-39,159,"apoc","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Coral"
"136","sp|Q9C5Q8|HEN1_ARATH","protein|evm.model.chromosome_13.2807",33.333,252,145,5,684,927,27,263,2.99e-37,148,"apoc","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Coral"
"137","sp|O04379|AGO1_ARATH","protein|evm.model.chromosome_8.2154",44.523,849,420,16,177,1009,14,827,0,711,"apoc","O04379","Plant: miRNA effector — guides RISC (AGO1)","Coral"
"138","sp|Q9ZVD5|AGO4_ARATH","protein|evm.model.chromosome_8.2154",33.662,912,506,25,47,923,7,854,3.03e-141,442,"apoc","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Coral"
"139","sp|Q9NRR4|RNC_HUMAN","Amphimedon_queenslandica_9617",25.191,262,153,8,58,300,123,360,0.077,37,"aque","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Sponge"
"140","sp|Q9UPY3|DICER_HUMAN","Amphimedon_queenslandica_20284",31.164,1091,595,30,40,1082,2,984,4.19e-129,444,"aque","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Sponge"
"141","sp|Q9UPY3|DICER_HUMAN","Amphimedon_queenslandica_20284",36.802,394,211,10,1554,1913,1165,1554,3.53e-58,222,"aque","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Sponge"
"142","sp|Q9UPY3|DICER_HUMAN","Amphimedon_queenslandica_20284",47.619,105,55,0,1291,1395,1042,1146,3.27e-22,104,"aque","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Sponge"
"143","sp|Q9UPY3|DICER_HUMAN","Amphimedon_queenslandica_20284",34.247,73,44,1,1295,1363,1299,1371,0.006,41.2,"aque","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Sponge"
"144","sp|Q8WYQ5|DGCR8_HUMAN","Amphimedon_queenslandica_24710",28.165,316,172,11,462,743,93,387,2.99e-14,75.1,"aque","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Sponge"
"147","sp|Q9BXP5|SRRT_HUMAN","Amphimedon_queenslandica_17120",34.183,471,225,6,371,760,387,853,3.42e-77,269,"aque","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Sponge"
"148","sp|Q9HAV4|XPO5_HUMAN","Amphimedon_queenslandica_20937",26.617,402,270,10,226,613,153,543,6.84e-30,127,"aque","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Sponge"
"149","sp|Q9HAV4|XPO5_HUMAN","Amphimedon_queenslandica_20937",26.282,156,112,2,1028,1181,601,755,1.95e-11,68.2,"aque","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Sponge"
"150","sp|Q9HAV4|XPO5_HUMAN","Amphimedon_queenslandica_20937",26.154,130,70,2,6,135,30,133,4.67e-10,63.5,"aque","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Sponge"
"151","sp|Q5T8I9|HENMT_HUMAN","Amphimedon_queenslandica_1222",44.66,206,103,3,15,209,3,208,9.24e-52,171,"aque","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Sponge"
"152","sp|Q9UL18|AGO1_HUMAN","Amphimedon_queenslandica_18829",64.623,848,265,9,21,857,113,936,0,1123,"aque","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Sponge"
"153","sp|Q9UKV8|AGO2_HUMAN","Amphimedon_queenslandica_18829",65.018,849,262,8,22,859,112,936,0,1137,"aque","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Sponge"
"154","sp|Q9SP32|DCL1_ARATH","Amphimedon_queenslandica_21568",27.381,924,546,32,232,1094,5,864,3.44e-68,254,"aque","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Sponge"
"155","sp|Q9SP32|DCL1_ARATH","Amphimedon_queenslandica_21568",27.505,509,258,10,1359,1797,1107,1574,3.67e-45,179,"aque","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Sponge"
"156","sp|Q9SP32|DCL1_ARATH","Amphimedon_queenslandica_21568",33.945,109,62,4,1247,1350,936,1039,4.32e-05,48.5,"aque","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Sponge"
"157","sp|O04492|DRB1_ARATH","Amphimedon_queenslandica_21637",35.484,155,94,4,16,168,501,651,3.54e-12,67.8,"aque","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Sponge"
"158","sp|O04492|DRB1_ARATH","Amphimedon_queenslandica_21637",27.059,85,51,2,17,94,5,85,2.3,30.4,"aque","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Sponge"
"159","sp|Q9ZVD0|SRRT_ARATH","Amphimedon_queenslandica_17120",30.601,183,85,10,103,257,64,232,9.17e-05,45.4,"aque","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Sponge"
"160","sp|Q9ZVD0|SRRT_ARATH","Amphimedon_queenslandica_17120",35.185,54,30,2,497,550,805,853,1,32.3,"aque","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Sponge"
"161","sp|Q0WP44|HASTY_ARATH","Amphimedon_queenslandica_19650",26.027,73,50,1,61,129,85,157,0.81,33.5,"aque","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Sponge"
"162","sp|Q9C5Q8|HEN1_ARATH","Amphimedon_queenslandica_1222",30,220,110,5,690,888,12,208,8.31e-26,105,"aque","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Sponge"
"163","sp|O04379|AGO1_ARATH","Amphimedon_queenslandica_18829",42.338,881,434,19,180,1047,116,935,0,649,"aque","O04379","Plant: miRNA effector — guides RISC (AGO1)","Sponge"
"164","sp|Q9ZVD5|AGO4_ARATH","Amphimedon_queenslandica_18829",32.745,907,485,31,56,923,115,935,1.08e-133,424,"aque","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Sponge"
"165","sp|Q9NRR4|RNC_HUMAN","Acropora_tenuis_12690",31.818,66,45,0,958,1023,36,101,0.000332,40.4,"aten","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Coral"
"166","sp|Q9NRR4|RNC_HUMAN","Acropora_tenuis_12690",32.143,56,38,0,1144,1199,44,99,0.001,38.5,"aten","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Coral"
"167","sp|Q9UPY3|DICER_HUMAN","Acropora_tenuis_985",59.055,127,52,0,440,566,4,130,8.16e-45,157,"aten","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"168","sp|Q8WYQ5|DGCR8_HUMAN","Acropora_tenuis_14787",38.824,85,45,2,257,339,45,124,3.96e-12,62,"aten","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Coral"
"171","sp|Q9BXP5|SRRT_HUMAN","Acropora_tenuis_6912",38.71,186,77,9,48,217,51,215,1.74e-23,97.8,"aten","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Coral"
"172","sp|Q9HAV4|XPO5_HUMAN","Acropora_tenuis_19222",40.187,107,59,1,176,277,1,107,6.02e-11,58.9,"aten","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Coral"
"173","sp|Q5T8I9|HENMT_HUMAN","Acropora_tenuis_1596",44.882,127,64,2,134,259,1,122,1.84e-30,112,"aten","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Coral"
"174","sp|Q9UL18|AGO1_HUMAN","Acropora_tenuis_8679",59.06,298,118,4,21,315,14,310,2.09e-122,370,"aten","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Coral"
"175","sp|Q9UKV8|AGO2_HUMAN","Acropora_tenuis_8679",61.438,306,112,5,15,316,6,309,1.24e-124,376,"aten","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Coral"
"176","sp|Q9SP32|DCL1_ARATH","Acropora_tenuis_985",39.844,128,64,4,660,774,1,128,1.86e-19,84.7,"aten","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"177","sp|O04492|DRB1_ARATH","Acropora_tenuis_15491",35.802,81,47,1,16,91,7,87,2.91e-06,44.3,"aten","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"178","sp|O04492|DRB1_ARATH","Acropora_tenuis_15491",30,80,54,2,103,181,8,86,0.002,36.2,"aten","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"179","sp|Q9ZVD0|SRRT_ARATH","Acropora_tenuis_6912",43.75,48,27,0,194,241,150,197,2.9e-06,47,"aten","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Coral"
"180","sp|Q0WP44|HASTY_ARATH","Acropora_tenuis_12604",41.463,41,23,1,842,881,60,100,0.24,31.2,"aten","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Coral"
"181","sp|Q9C5Q8|HEN1_ARATH","Acropora_tenuis_1596",34.848,132,68,3,798,927,1,116,3.69e-21,89,"aten","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Coral"
"182","sp|O04379|AGO1_ARATH","Acropora_tenuis_8679",38.487,304,170,6,177,470,14,310,1.19e-64,219,"aten","O04379","Plant: miRNA effector — guides RISC (AGO1)","Coral"
"183","sp|Q9ZVD5|AGO4_ARATH","Acropora_tenuis_4271",50,120,54,1,764,877,2,121,2.01e-35,129,"aten","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Coral"
"184","sp|Q9NRR4|RNC_HUMAN","Anemonia_viridis_1537",37.288,59,37,0,1105,1163,56,114,0.000235,38.5,"avir","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Cnidarian"
"185","sp|Q9NRR4|RNC_HUMAN","Anemonia_viridis_1537",60,20,8,0,966,985,95,114,0.18,30,"avir","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Cnidarian"
"186","sp|Q9UPY3|DICER_HUMAN","Anemonia_viridis_1537",60.606,66,25,1,1666,1730,58,123,5.34e-21,86.7,"avir","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Cnidarian"
"187","sp|Q8WYQ5|DGCR8_HUMAN","Anemonia_viridis_2289",30,50,33,1,300,347,159,208,0.058,32,"avir","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Cnidarian"
"188","sp|Q8WYQ5|DGCR8_HUMAN","Anemonia_viridis_2289",36.667,30,19,0,303,332,118,147,0.6,28.9,"avir","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Cnidarian"
"192","sp|Q9BXP5|SRRT_HUMAN","Anemonia_viridis_1363",44.545,110,42,6,1,100,1,101,4.31e-07,47,"avir","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Cnidarian"
"193","sp|Q9HAV4|XPO5_HUMAN","Anemonia_viridis_406",23.656,93,66,2,882,972,192,281,0.49,30,"avir","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Cnidarian"
"194","sp|Q5T8I9|HENMT_HUMAN","Anemonia_viridis_2187",25.556,90,54,3,49,137,44,121,0.064,30.8,"avir","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Cnidarian"
"195","sp|Q9UL18|AGO1_HUMAN","Anemonia_viridis_1965",36.667,30,19,0,537,566,119,148,0.72,28.1,"avir","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Cnidarian"
"196","sp|Q9UKV8|AGO2_HUMAN","Anemonia_viridis_1965",33.333,30,20,0,539,568,119,148,2.9,26.2,"avir","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Cnidarian"
"197","sp|Q9SP32|DCL1_ARATH","Anemonia_viridis_4974",32.787,122,80,2,646,765,52,173,6.25e-16,76.3,"avir","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Cnidarian"
"198","sp|O04492|DRB1_ARATH","Anemonia_viridis_1669",45.714,35,18,1,134,168,72,105,0.02,32.3,"avir","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Cnidarian"
"199","sp|Q9ZVD0|SRRT_ARATH","Anemonia_viridis_3548",39.474,38,23,0,332,369,186,223,0.067,31.6,"avir","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Cnidarian"
"200","sp|Q0WP44|HASTY_ARATH","Anemonia_viridis_4",34.043,47,28,1,840,886,179,222,1.8,28.1,"avir","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Cnidarian"
"201","sp|Q9C5Q8|HEN1_ARATH","Anemonia_viridis_2187",26.786,112,68,5,693,801,21,121,0.13,31.2,"avir","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Cnidarian"
"202","sp|O04379|AGO1_ARATH","Anemonia_viridis_4635",31.884,69,42,2,287,354,6,70,0.2,30.4,"avir","O04379","Plant: miRNA effector — guides RISC (AGO1)","Cnidarian"
"203","sp|Q9ZVD5|AGO4_ARATH","Anemonia_viridis_5031",48.148,27,12,1,316,342,140,164,1.9,27.3,"avir","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Cnidarian"
"204","sp|Q9NRR4|RNC_HUMAN","Ephydatia_muelleri_14673",38.348,811,440,21,517,1318,138,897,2.73e-159,503,"emue","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Sponge"
"205","sp|Q9UPY3|DICER_HUMAN","Ephydatia_muelleri_5729",35.05,699,418,15,45,717,8,696,3.85e-104,350,"emue","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Sponge"
"206","sp|Q8WYQ5|DGCR8_HUMAN","Ephydatia_muelleri_7728",32.714,269,177,3,483,748,284,551,2.12e-43,165,"emue","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Sponge"
"207","sp|Q8WYQ5|DGCR8_HUMAN","Ephydatia_muelleri_7728",49.057,53,26,1,302,353,112,164,4.55e-12,68.6,"emue","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Sponge"
"210","sp|Q9BXP5|SRRT_HUMAN","Ephydatia_muelleri_5224",36.994,865,447,26,1,802,18,847,4.57e-144,448,"emue","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Sponge"
"211","sp|Q9HAV4|XPO5_HUMAN","Ephydatia_muelleri_13178",27.805,1230,776,36,4,1203,10,1157,4.84e-131,429,"emue","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Sponge"
"212","sp|Q5T8I9|HENMT_HUMAN","Ephydatia_muelleri_14377",48.848,217,110,1,27,242,27,243,2.03e-67,219,"emue","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Sponge"
"213","sp|Q9UL18|AGO1_HUMAN","Ephydatia_muelleri_280",66.981,848,274,4,15,857,44,890,0,1201,"emue","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Sponge"
"214","sp|Q9UKV8|AGO2_HUMAN","Ephydatia_muelleri_280",69.222,848,255,4,17,859,44,890,0,1233,"emue","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Sponge"
"215","sp|Q9SP32|DCL1_ARATH","Ephydatia_muelleri_5729",30.055,732,414,20,249,927,7,693,8e-76,267,"emue","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Sponge"
"216","sp|O04492|DRB1_ARATH","Ephydatia_muelleri_6597",45.455,66,32,1,17,82,4,65,6.18e-06,47.8,"emue","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Sponge"
"217","sp|O04492|DRB1_ARATH","Ephydatia_muelleri_6597",32.258,124,61,5,17,121,320,439,0.001,40,"emue","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Sponge"
"218","sp|O04492|DRB1_ARATH","Ephydatia_muelleri_6597",41.333,75,28,4,16,82,420,486,0.011,37.4,"emue","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Sponge"
"219","sp|Q9ZVD0|SRRT_ARATH","Ephydatia_muelleri_5224",39.56,91,55,0,196,286,160,250,3.88e-11,65.9,"emue","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Sponge"
"220","sp|Q9ZVD0|SRRT_ARATH","Ephydatia_muelleri_5224",27.673,159,102,4,400,550,651,804,2.2e-05,47.4,"emue","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Sponge"
"221","sp|Q0WP44|HASTY_ARATH","Ephydatia_muelleri_13178",20.623,1188,767,39,28,1153,38,1111,3.24e-20,96.7,"emue","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Sponge"
"222","sp|Q9C5Q8|HEN1_ARATH","Ephydatia_muelleri_14377",32.78,241,140,5,678,912,12,236,2.31e-33,133,"emue","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Sponge"
"223","sp|O04379|AGO1_ARATH","Ephydatia_muelleri_280",42.083,941,470,18,119,1047,12,889,0,703,"emue","O04379","Plant: miRNA effector — guides RISC (AGO1)","Sponge"
"224","sp|Q9ZVD5|AGO4_ARATH","Ephydatia_muelleri_280",32.124,937,526,28,26,923,24,889,2.6e-139,437,"emue","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Sponge"
"225","sp|Q9NRR4|RNC_HUMAN","Fungia_scutaria_62827",56.364,880,358,11,505,1370,20,887,0,1019,"fscu","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Coral"
"226","sp|Q9UPY3|DICER_HUMAN","Fungia_scutaria_57770",50,278,132,5,440,715,30,302,5.35e-75,254,"fscu","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"227","sp|Q8WYQ5|DGCR8_HUMAN","Fungia_scutaria_28429",49.519,208,104,1,501,708,19,225,1.37e-62,209,"fscu","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Coral"
"231","sp|Q9BXP5|SRRT_HUMAN","Fungia_scutaria_4261",46.783,575,222,15,366,876,671,1225,7.1e-138,440,"fscu","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Coral"
"232","sp|Q9BXP5|SRRT_HUMAN","Fungia_scutaria_4261",46.715,274,131,7,1,269,1,264,5.39e-57,212,"fscu","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Coral"
"233","sp|Q9HAV4|XPO5_HUMAN","Fungia_scutaria_20304",34.779,1176,700,25,13,1153,2,1145,0,686,"fscu","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Coral"
"234","sp|Q5T8I9|HENMT_HUMAN","Fungia_scutaria_21286",47.015,134,70,1,99,231,1,134,1.01e-42,145,"fscu","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Coral"
"235","sp|Q9UL18|AGO1_HUMAN","Fungia_scutaria_59731",69.903,721,212,3,141,857,1,720,0,1068,"fscu","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Coral"
"236","sp|Q9UKV8|AGO2_HUMAN","Fungia_scutaria_59731",70.833,720,207,2,143,859,1,720,0,1078,"fscu","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Coral"
"237","sp|Q9SP32|DCL1_ARATH","Fungia_scutaria_55419",32.558,473,235,13,1353,1741,320,792,1.81e-59,221,"fscu","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"238","sp|Q9SP32|DCL1_ARATH","Fungia_scutaria_55419",30.597,134,79,3,1219,1351,130,250,2.28e-10,65.1,"fscu","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"239","sp|Q9SP32|DCL1_ARATH","Fungia_scutaria_55419",26.374,182,108,6,1342,1518,596,756,5.29e-08,57.4,"fscu","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"240","sp|Q9SP32|DCL1_ARATH","Fungia_scutaria_55419",30.973,113,65,3,1558,1661,299,407,0.00045,44.7,"fscu","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"241","sp|O04492|DRB1_ARATH","Fungia_scutaria_58854",39.394,66,35,1,103,168,599,659,2.59e-06,48.9,"fscu","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"242","sp|O04492|DRB1_ARATH","Fungia_scutaria_58854",43.284,67,33,2,17,83,599,660,0.000104,43.9,"fscu","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"243","sp|O04492|DRB1_ARATH","Fungia_scutaria_58854",31.579,152,59,7,9,126,325,465,0.001,40.8,"fscu","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"244","sp|O04492|DRB1_ARATH","Fungia_scutaria_58854",35.821,67,41,1,16,82,441,505,0.01,37.7,"fscu","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"245","sp|Q9ZVD0|SRRT_ARATH","Fungia_scutaria_4261",33.566,143,73,3,109,249,76,198,2.41e-13,73.2,"fscu","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Coral"
"246","sp|Q9ZVD0|SRRT_ARATH","Fungia_scutaria_4261",27.485,171,87,9,400,550,957,1110,0.000509,42.7,"fscu","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Coral"
"247","sp|Q0WP44|HASTY_ARATH","Fungia_scutaria_20304",19.883,1192,802,32,10,1123,1,1117,1.52e-37,152,"fscu","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Coral"
"248","sp|Q9C5Q8|HEN1_ARATH","Fungia_scutaria_21286",39.355,155,78,2,772,924,10,150,5.21e-30,115,"fscu","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Coral"
"249","sp|O04379|AGO1_ARATH","Fungia_scutaria_59731",46.444,717,342,13,306,1009,5,692,0,644,"fscu","O04379","Plant: miRNA effector — guides RISC (AGO1)","Coral"
"250","sp|Q9ZVD5|AGO4_ARATH","Fungia_scutaria_59731",36.501,726,396,22,205,898,1,693,2.52e-123,390,"fscu","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Coral"
"251","sp|Q9NRR4|RNC_HUMAN","Gorgonia_ventalina_70988",48.109,476,232,6,547,1017,3,468,2.44e-151,466,"gven","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Cnidarian"
"252","sp|Q9NRR4|RNC_HUMAN","Gorgonia_ventalina_70988",47.273,55,29,0,1140,1194,413,467,2.59e-08,57.4,"gven","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Cnidarian"
"253","sp|Q9UPY3|DICER_HUMAN","Gorgonia_ventalina_64465",50,250,118,4,1667,1911,6,253,1.18e-67,228,"gven","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Cnidarian"
"254","sp|Q9UPY3|DICER_HUMAN","Gorgonia_ventalina_64465",31.579,76,42,4,1283,1353,12,82,7.5,30,"gven","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Cnidarian"
"255","sp|Q8WYQ5|DGCR8_HUMAN","Gorgonia_ventalina_65685",42.5,200,97,4,437,629,48,236,6.66e-34,129,"gven","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Cnidarian"
"257","sp|Q9BXP5|SRRT_HUMAN","Gorgonia_ventalina_11091",43.364,535,219,16,402,876,2,512,4.64e-115,360,"gven","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Cnidarian"
"258","sp|Q9HAV4|XPO5_HUMAN","Gorgonia_ventalina_29196",27.692,650,429,15,576,1204,1,630,9.24e-72,251,"gven","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Cnidarian"
"259","sp|Q5T8I9|HENMT_HUMAN","Gorgonia_ventalina_45179",25.688,109,71,2,28,136,198,296,0.66,31.2,"gven","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Cnidarian"
"260","sp|Q9UL18|AGO1_HUMAN","Gorgonia_ventalina_62465",64.6,500,172,2,358,857,1,495,0,664,"gven","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Cnidarian"
"261","sp|Q9UKV8|AGO2_HUMAN","Gorgonia_ventalina_62465",65.2,500,169,2,360,859,1,495,0,682,"gven","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Cnidarian"
"262","sp|Q9SP32|DCL1_ARATH","Gorgonia_ventalina_61952",32.346,439,210,11,1359,1740,156,564,7.35e-50,187,"gven","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Cnidarian"
"263","sp|Q9SP32|DCL1_ARATH","Gorgonia_ventalina_61952",46.341,41,22,0,1307,1347,4,44,0.008,40.4,"gven","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Cnidarian"
"264","sp|O04492|DRB1_ARATH","Gorgonia_ventalina_46388",37.349,83,44,2,1,83,54,128,0.000231,40.4,"gven","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Cnidarian"
"265","sp|O04492|DRB1_ARATH","Gorgonia_ventalina_46388",43.284,67,32,2,103,168,66,127,0.000379,40,"gven","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Cnidarian"
"266","sp|Q9ZVD0|SRRT_ARATH","Gorgonia_ventalina_34458",47.5,40,21,0,195,234,142,181,0.000166,42.4,"gven","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Cnidarian"
"267","sp|Q0WP44|HASTY_ARATH","Gorgonia_ventalina_29196",20.07,568,395,22,658,1187,68,614,2.02e-08,57.8,"gven","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Cnidarian"
"268","sp|Q9C5Q8|HEN1_ARATH","Gorgonia_ventalina_21158",27.679,112,67,5,693,801,17,117,0.25,33.5,"gven","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Cnidarian"
